qid,category_en,category_ja
Q5918182,Plant anatomy,Category:植物解剖学
Q5905479,Cancer,Category:がん (悪性腫瘍)
Q1457013,Bacteria,Category:細菌
Q1457057,Viruses,Category:ウイルス
Q5625889,Sexually transmitted diseases and infections,Category:性感染症
Q5637328,Psychoactive drugs,Category:向精神薬
Q3542010,Skin cancers,
Q5929918,Health in Finland,
Q6147988,Austro-Hungarian generals,
Q6177040,Academicians of the Spanish Royal Academy of Medicine,
Q6177036,Corresponding members of the Spanish Royal Academy of Medicine,
Q6180939,Alcaligenes,
Q6181032,Germany in the Eurovision Song Contest,
Q6181307,"Alhambra, Generalife and Albayzín, Granada",
Q6181556,Old Testament places,
Q6182403,Anatomy of embryos,
Q6182395,Leaf anatomy,
Q6182410,Anatomy and physiology of mammals,
Q6184475,Antimigraine drugs,
Q6185088,Los Testigos Archipelago,
Q6189598,OAS General Assembly,
Q6189914,Argentine Medical Association,
Q6190439,Discoveries by Eugene Merle Shoemaker,
Q6190802,Pharmaceutical care,
Q6192745,Pathogenic bacteria,
Q6199972,Streets in General San Martín,
Q6202161,Protest singers,
Q4925926,Genetics,Category:遺伝学
Q4926419,Molecular genetics,Category:分子遺伝学
Q3293,Eurovision Song Contest entrants for Slovakia,Category:スロバキアのユーロビジョン・ソング・コンテスト参加者
Q4965571,Genealogy,Category:系譜学
Q6007419,Book of Genesis,Category:創世記
Q3315,Eurovision Song Contest entrants for Sweden,Category:スウェーデンのユーロビジョン・ソング・コンテスト参加者
Q3316,Eurovision Song Contest entrants for Slovenia,Category:スロベニアのユーロビジョン・ソング・コンテスト参加者
Q3317,Eurovision Song Contest entrants for Serbia,Category:セルビアのユーロビジョン・ソング・コンテスト参加者
Q6128559,Medical researchers,カテゴリ:医学者
Q3575,Eurovision Song Contest entrants for Russia,Category:ロシアのユーロビジョン・ソング・コンテスト参加者
Q6177900,Infectious diseases,カテゴリ:感染症
Q4095469,Anatomy,Category:解剖学
Q6189519,Protestantism,Category:プロテスタント
Q6189887,Health care in Spain,Category:スペインの医療
Q4095812,Medicine,Category:医学
Q4095844,Health care,Category:医療
Q3307,Slovakia in the Eurovision Song Contest,
Q6197099,Protein biosynthesis,Category:タンパク質生合成
Q3555,Russia in the Eurovision Song Contest,
Q3556,Sweden in the Eurovision Song Contest,
Q3571,Slovenia in the Eurovision Song Contest,
Q3643,Serbia in the Eurovision Song Contest,
Q5468659,Hospitals,Category:医療機関
Q6212070,Comptrollers General of Chile,
Q5672053,Drugs acting on the genito-urinary system,Category:泌尿生殖器系に作用する薬
Q5845785,Secretaries general of the Organization of American States,
Q5847876,"Hospitals in the province of Córdoba, Spain",
Q6202478,Captaincy General of Cuba,
Q6202484,Captaincy General of the Philippines,
Q6203544,Protein degradation,
Q6204493,Health centres in Spain,
Q6204497,Health centres by country,
Q6204759,Cervélo TestTeam,
Q6207764,Clorindo Testa,
Q6208687,Medical associations in Spain,
Q6208685,Medical colleges,
Q6209345,General commanders of the German Air Forces,
Q6209365,General commanders of the Canary Islands,
Q6211771,Consejo General del Poder Judicial,
Q6215622,Cervical cancer,
Q6215635,Cancers of bone and articular cartilage,
Q6215633,Gallbladder cancer,
Q6216206,Departamento General Alvear (Corrientes),
Q6216207,"General Alvear, Mendoza",
Q6216211,General Paz Department,
Q6216209,General López Department,
Q6216212,"General Roca Department, Córdoba",
Q6221315,Members of the General Junta of the Principality of Asturias,
Q6221755,General directors of the National Police Corps,
Q6223157,Medical donations,
Q6226162,"Spanish general election, 1936",
Q6226166,"Spanish general election, 2011",
Q6226164,"Spanish general election, 2008",
Q6228036,Pharmaceutical companies of Mexico,
Q6228330,Carnivoran diseases,
Q6228336,Diseases and disorders of the nails,
Q6228347,Diseases and disorders of the reproductive system,
Q6228345,Degenerative diseases and disorders,
Q6228342,Rodent diseases,
Q6228349,Eponymous diseases,
Q6228352,Diseases of intestines,
Q6154313,Health sciences,Category:健康科学
Q6155998,Medical treatments,Category:医療処置
Q6160555,Statistical hypothesis testing,Category:統計的仮説検定
Q6202984,Genetic mapping,Category:遺伝子マッピング
Q6205150,1550 in the Captaincy General of Chile,Category:1550年のチリ
Q6205159,1800 in the Captaincy General of Chile,Category:1800年のチリ
Q6205156,1575 in the Captaincy General of Chile,Category:1575年のチリ
Q6205157,1647 in the Captaincy General of Chile,Category:1647年のチリ
Q6210564,Municipalities of the canton of Geneva,Category:ジュネーヴ州のコミューン
Q6217011,Sport in Geneva,Category:ジュネーヴのスポーツ
Q6220870,Medical dictionaries,Category:医学辞典
Q6228034,Pharmaceutical companies of Japan,Category:日本の医薬品メーカー
